rtp_ts,send_ms,recv_ms,latency_ms
629069196,498,1487,-11
629072346,511,1495,-16
629075496,544,1536,-8
629078646,579,1558,-21
629081796,615,1591,-24
629084946,649,1627,-22
629088096,685,1659,-26
629091246,720,1696,-24
629094306,755,1732,-23
629097456,790,1767,-23
629100606,825,1803,-22
629103756,860,1840,-20
629106906,895,1877,-18
629110056,930,1915,-15
629113206,965,1951,-14
629116356,999,1987,-12
629119506,1034,2022,-12
629122656,1069,2057,-12
629125806,1104,2093,-11
629128956,1138,2129,-9
629132106,1173,2164,-9
629135256,1208,2200,-8
629138406,1243,2234,-9
629141556,1278,2269,-9
629144706,1313,2304,-9
629147856,1347,2339,-8
629150916,1382,2370,-12
629154066,1418,2406,-12
629157216,1453,2442,-11
629160366,1489,2479,-10
629163516,1524,2517,-7
629166666,1559,2555,-4
629169816,1595,2598,3
629172966,1630,2634,4
629176116,1665,2671,6
629179266,1700,2707,7
629182416,1735,2744,9
629185566,1770,2782,12
629188716,1805,2818,13
629191866,1840,2855,15
629195016,1875,2892,17
629198166,1910,2928,18
629201316,1945,2963,18
629204376,1980,2999,19
629207526,2015,3037,22
629210676,2050,3073,23
629213826,2085,3110,25
629216976,2120,3146,26
629220126,2155,3183,28
629223276,2190,3217,27
629226426,2225,3254,29
629229576,2259,3291,32
629232726,2294,3327,33
629235876,2329,3361,32
629239026,2364,3397,33
629242176,2399,3432,33
629245326,2434,3468,34
629248476,2469,3503,34
629251626,2503,3537,34
629254776,2539,3575,36
629257926,2573,3607,34
629261076,2608,3642,34
629264226,2643,3678,35
629267376,2678,3712,34
629270526,2713,3747,34
629273676,2748,3782,34
629276826,2783,3816,33
629279976,2818,3851,33
629283036,2853,3884,31
629286186,2888,3918,30
629289336,2923,3953,30
629292486,2958,3987,29
629295636,2992,4022,30
629298786,3028,4057,29
629301936,3062,4090,28
629305086,3097,4125,28
629308236,3132,4161,29
629311386,3168,4193,25
629314536,3203,4230,27
629317686,3238,4264,26
629320926,3272,4300,28
629324076,3307,4336,29
629327226,3343,4371,28
629330376,3378,4405,27
629333526,3413,4440,27
629336676,3449,4476,27
629339826,3483,4509,26
629342976,3518,4545,27
629346126,3554,4580,26
629349276,3588,4613,25
629352426,3624,4650,26
629355576,3658,4684,26
629358726,3694,4719,25
629361876,3728,4752,24
629365026,3764,4788,24
629368176,3798,4823,25
629371326,3834,4857,23
629374476,3868,4893,25
629377626,3903,4927,24
629380776,3939,4962,23
629383836,3973,4994,21
629386986,4008,5029,21
629390136,4042,5062,20
629393286,4077,5096,19
629396436,4113,5130,17
629399586,4147,5166,19
629402736,4183,5204,21
629405886,4217,5238,21
629409036,4252,5273,21
629412186,4287,5308,21
629415336,4321,5342,21
629418486,4356,5376,20
629421636,4391,5410,19
629424786,4427,5447,20
629427936,4462,5482,20
629431086,4496,5515,19
629434236,4531,5550,19
629437386,4566,5584,18
629440536,4601,5617,16
629443686,4637,5656,19
629446836,4672,5690,18
629449986,4707,5725,18
629453136,4742,5762,20
629456286,4776,5796,20
629459436,4812,5832,20
629462586,4846,5867,21
629465736,4882,5902,20
629468886,4916,5937,21
629472036,4951,5971,20
629475186,4986,6006,20
629478246,5021,6041,20
629481396,5056,6074,18
629484546,5091,6111,20
629487696,5126,6144,18
629490846,5161,6178,17
629493996,5196,6213,17
629497146,5231,6247,16
629500296,5266,6284,18
629503446,5301,6318,17
629506596,5336,6353,17
629509746,5371,6389,18
629512896,5407,6423,16
629516046,5442,6458,16
629519196,5477,6498,21
629522346,5512,6532,20
629525496,5547,6570,23
629528646,5583,6606,23
629531796,5617,6642,25
629534946,5652,6674,22
629538096,5687,6708,21
629541246,5721,6742,21
629544306,5755,6775,20
629547456,5791,6811,20
629550606,5825,6847,22
629553756,5861,6881,20
629556906,5896,6917,21
629560056,5930,6953,23
629563206,5966,6992,26
629566356,6000,7028,28
629569506,6035,7064,29
629572656,6070,7099,29
629575806,6105,7134,29
629578956,6140,7167,27
629582106,6175,7202,27
629585256,6210,7238,28
629588406,6245,7273,28
629591556,6279,7309,30
629594706,6315,7345,30
629597856,6350,7378,28
629601006,6385,7414,29
629604156,6420,7449,29
629607306,6454,7484,30
629610456,6489,7520,31
629613606,6525,7556,31
629616756,6560,7593,33
629619906,6596,7628,32
629623056,6630,7663,33
629626206,6666,7697,31
629629356,6700,7732,32
629632506,6735,7767,32
629635656,6770,7802,32
629638806,6805,7836,31
629641956,6841,7870,29
629645106,6875,7905,30
629648256,6909,7937,28
629651406,6944,7973,29
629654556,6979,8008,29
629657706,7014,8042,28
629660856,7049,8075,26
629664006,7084,8109,25
629667156,7123,8150,27
629670306,7158,8184,26
629673456,7193,8217,24
629676606,7228,8255,27
629679756,7263,8291,28
629682906,7298,8326,28
629686056,7333,8362,29
629689206,7369,8396,27
629692356,7403,8433,30
629695506,7438,8467,29
629698656,7473,8503,30
629701806,7508,8537,29
629704956,7541,8571,30
629708106,7576,8605,29
