rtp_ts,send_ms,recv_ms,latency_ms
2443470797,446,1435,-11
2443473947,475,1485,10
2443477097,509,1499,-10
2443480247,544,1525,-19
2443483307,579,1559,-20
2443486457,615,1597,-18
2443489607,649,1629,-20
2443492757,685,1666,-19
2443495907,720,1702,-18
2443499057,755,1737,-18
2443502207,790,1774,-16
2443505357,825,1810,-15
2443508507,860,1846,-14
2443511657,895,1883,-12
2443514807,930,1921,-9
2443517957,965,1958,-7
2443521107,999,1992,-7
2443524257,1033,2027,-6
2443527407,1069,2061,-8
2443530557,1103,2096,-7
2443533707,1138,2132,-6
2443536857,1173,2168,-5
2443540007,1208,2204,-4
2443543157,1243,2239,-4
2443546307,1278,2273,-5
2443549457,1313,2309,-4
2443552607,1348,2343,-5
2443555757,1383,2377,-6
2443558907,1418,2413,-5
2443562057,1453,2448,-5
2443565207,1489,2487,-2
2443568357,1525,2525,0
2443571507,1560,2564,4
2443574657,1596,2604,8
2443577807,1631,2641,10
2443580957,1666,2677,11
2443584107,1701,2712,11
2443587167,1736,2747,11
2443590317,1771,2785,14
2443593467,1805,2821,16
2443596617,1840,2858,18
2443599767,1875,2893,18
2443602917,1910,2929,19
2443606067,1945,2966,21
2443609217,1980,3002,22
2443612367,2015,3040,25
2443615517,2050,3078,28
2443618667,2086,3113,27
2443621817,2120,3150,30
2443624967,2155,3186,31
2443628117,2190,3223,33
2443631267,2225,3258,33
2443634417,2260,3293,33
2443637567,2295,3329,34
2443640717,2329,3363,34
2443643867,2365,3399,34
2443647017,2399,3434,35
2443650167,2434,3468,34
2443653317,2469,3502,33
2443656467,2503,3536,33
2443659527,2539,3572,33
2443662677,2573,3606,33
2443665827,2608,3640,32
2443668977,2643,3675,32
2443672127,2679,3711,32
2443675277,2713,3744,31
2443678427,2749,3780,31
2443681577,2784,3814,30
2443684727,2818,3848,30
2443687877,2853,3884,31
2443691027,2889,3918,29
2443694177,2924,3952,28
2443697327,2959,3988,29
2443700477,2993,4021,28
2443703627,3028,4056,28
2443706777,3063,4092,29
2443709927,3098,4127,29
2443713077,3132,4161,29
2443716227,3168,4194,26
2443719377,3203,4229,26
2443722527,3238,4264,26
2443725677,3272,4298,26
2443728827,3308,4334,26
2443731977,3343,4370,27
2443735127,3378,4406,28
2443738277,3413,4440,27
2443741427,3448,4474,26
2443744577,3482,4509,27
2443747727,3517,4544,27
2443750877,3553,4578,25
2443754027,3587,4614,27
2443757177,3623,4649,26
2443760327,3658,4683,25
2443763477,3693,4719,26
2443766627,3728,4751,23
2443769777,3763,4787,24
2443772927,3798,4824,26
2443776077,3833,4858,25
2443779227,3868,4893,25
2443782287,3903,4926,23
2443785437,3939,4962,23
2443788587,3973,4995,22
2443791737,4007,5029,22
2443794887,4042,5063,21
2443798037,4077,5097,20
2443801187,4112,5133,21
2443804337,4147,5168,21
2443807487,4182,5205,23
2443810637,4217,5238,21
2443813787,4251,5275,24
2443816937,4286,5309,23
2443820087,4321,5343,22
2443823237,4356,5378,22
2443826387,4391,5411,20
2443829537,4425,5446,21
2443832687,4461,5481,20
2443835837,4495,5514,19
2443838987,4530,5548,18
2443842137,4565,5583,18
2443845287,4601,5622,21
2443848437,4637,5655,18
2443851587,4671,5689,18
2443854737,4707,5725,18
2443857887,4742,5761,19
2443861037,4776,5794,18
2443864187,4812,5832,20
2443867337,4847,5864,17
2443870487,4882,5901,19
2443873637,4916,5934,18
2443876787,4951,5970,19
2443879937,4986,6004,18
2443883087,5021,6040,19
2443886237,5057,6074,17
2443889387,5091,6109,18
2443892537,5127,6144,17
2443895687,5162,6179,17
2443898837,5197,6214,17
2443901987,5232,6247,15
2443905137,5267,6283,16
2443908287,5302,6318,16
2443911437,5337,6354,17
2443914587,5373,6389,16
2443917737,5408,6426,18
2443920887,5442,6460,18
2443924037,5477,6496,19
2443927187,5513,6532,19
2443930337,5548,6567,19
2443933487,5583,6605,22
2443936547,5618,6640,22
2443939697,5652,6676,24
2443942847,5687,6710,23
2443945997,5722,6745,23
2443949147,5756,6779,23
2443952297,5792,6815,23
2443955447,5826,6851,25
2443958597,5862,6886,24
2443961837,5897,6923,26
2443964987,5932,6958,26
2443968137,5967,6996,29
2443971287,6001,7030,29
2443974347,6036,7064,28
2443977497,6071,7101,30
2443980647,6106,7133,27
2443983797,6141,7167,26
2443986947,6176,7202,26
2443990097,6211,7237,26
2443993247,6246,7272,26
2443996397,6281,7307,26
2443999637,6317,7344,27
2444002787,6351,7378,27
2444005937,6387,7413,26
2444009087,6422,7450,28
2444012237,6457,7483,26
2444015387,6492,7519,27
2444018537,6527,7556,29
2444021687,6562,7591,29
2444024837,6598,7625,27
2444027987,6632,7661,29
2444031137,6667,7696,29
2444034287,6702,7730,28
2444037437,6737,7766,29
2444040587,6772,7799,27
2444043737,6806,7834,28
2444046887,6842,7868,26
2444050037,6876,7902,26
2444053187,6911,7938,27
2444056337,6945,7972,27
2444059397,6980,8006,26
2444062547,7015,8038,23
2444065697,7051,8074,23
2444068847,7085,8109,24
2444071997,7125,8149,24
2444075147,7159,8182,23
2444078297,7194,8214,20
2444081447,7229,8251,22
2444084597,7264,8287,23
2444087747,7299,8322,23
2444090897,7334,8359,25
2444094047,7370,8393,23
2444097197,7405,8428,23
2444100347,7440,8464,24
2444103497,7475,8498,23
2444106647,7510,8532,22
2444109797,7542,8566,24
2444112947,7577,8599,22
