rtp_ts,send_ms,recv_ms,latency_ms
860400750,497,1487,-10
860403900,511,1496,-15
860407050,544,1534,-10
860410200,579,1558,-21
860413350,615,1591,-24
860416500,649,1626,-23
860419650,685,1658,-27
860422800,720,1694,-26
860425950,755,1730,-25
860429100,790,1765,-25
860432250,825,1802,-23
860435400,860,1839,-21
860438550,896,1875,-21
860441700,931,1912,-19
860444850,966,1948,-18
860448000,1000,1983,-17
860451150,1035,2018,-17
860454300,1069,2053,-16
860457450,1105,2089,-16
860460600,1140,2125,-15
860463750,1175,2161,-14
860466900,1210,2197,-13
860470050,1245,2233,-12
860473200,1279,2269,-10
860476350,1314,2304,-10
860479500,1349,2337,-12
860482650,1384,2372,-12
860485800,1419,2408,-11
860488950,1454,2442,-12
860492100,1490,2479,-11
860495250,1525,2520,-5
860498400,1560,2557,-3
860501550,1596,2599,3
860504700,1631,2636,5
860507850,1666,2673,7
860511000,1701,2709,8
860514060,1736,2745,9
860517210,1771,2782,11
860520360,1806,2818,12
860523510,1841,2855,14
860526660,1876,2891,15
860529810,1910,2927,17
860532960,1946,2964,18
860536110,1981,3001,20
860539260,2016,3038,22
860542410,2051,3075,24
860545560,2086,3111,25
860548710,2120,3147,27
860551860,2156,3183,27
860555010,2190,3218,28
860558160,2226,3256,30
860561310,2260,3290,30
860564460,2295,3328,33
860567610,2330,3362,32
860570760,2365,3399,34
860573910,2400,3434,34
860577060,2435,3470,35
860580210,2470,3505,35
860583360,2504,3540,36
860586510,2539,3576,37
860589660,2574,3608,34
860592810,2609,3644,35
860595960,2644,3678,34
860599020,2679,3711,32
860602170,2714,3745,31
860605320,2749,3781,32
860608470,2784,3815,31
860611620,2819,3850,31
860614770,2854,3885,31
860617920,2889,3918,29
860621070,2924,3953,29
860624310,2960,3989,29
860627460,2994,4023,29
860630610,3029,4059,30
860633670,3064,4092,28
860636910,3099,4128,29
860640060,3133,4163,30
860643210,3169,4196,27
860646360,3204,4231,27
860649510,3239,4267,28
860652660,3273,4300,27
860655810,3308,4335,27
860658870,3344,4370,26
860662020,3378,4404,26
860665170,3414,4439,25
860668320,3449,4475,26
860671470,3483,4509,26
860674620,3518,4543,25
860677770,3554,4579,25
860680920,3588,4615,27
860684070,3624,4648,24
860687220,3659,4683,24
860690370,3694,4720,26
860693520,3729,4753,24
860696670,3764,4789,25
860699820,3798,4824,26
860702970,3834,4858,24
860706120,3869,4895,26
860709270,3903,4928,25
860712420,3939,4963,24
860715570,3973,4998,25
860718720,4008,5031,23
860721870,4043,5064,21
860725020,4078,5099,21
860728170,4113,5133,20
860731320,4147,5169,22
860734380,4183,5206,23
860737530,4217,5240,23
860740680,4252,5274,22
860743830,4287,5310,23
860746980,4322,5343,21
860750130,4356,5378,22
860753280,4391,5412,21
860756430,4426,5447,21
860759580,4462,5482,20
860762730,4496,5516,20
860765880,4531,5550,19
860769030,4566,5584,18
860772180,4601,5619,18
860775330,4637,5658,21
860778480,4671,5692,21
860781630,4708,5726,18
860784780,4742,5763,21
860787930,4776,5798,22
860791080,4812,5834,22
860794230,4846,5867,21
860797380,4882,5903,21
860800530,4917,5937,20
860803680,4951,5972,21
860806830,4986,6007,21
860809980,5021,6042,21
860813130,5056,6077,21
860816280,5091,6111,20
860819430,5126,6145,19
860822580,5162,6180,18
860825730,5197,6215,18
860828880,5232,6250,18
860832030,5267,6286,19
860835180,5301,6319,18
860838330,5336,6355,19
860841390,5372,6388,16
860844540,5407,6425,18
860847690,5443,6460,17
860850840,5477,6497,20
860853990,5513,6533,20
860857140,5548,6569,21
860860290,5583,6605,22
860863440,5618,6643,25
860866590,5652,6676,24
860869740,5687,6709,22
860872890,5722,6743,21
860876040,5756,6776,20
860879190,5791,6812,21
860882340,5826,6849,23
860885490,5861,6885,24
860888640,5896,6921,25
860891790,5931,6958,27
860894940,5966,6996,30
860898090,6001,7033,32
860901240,6036,7068,32
860904390,6071,7104,33
860907540,6105,7138,33
860910690,6140,7170,30
860913840,6176,7204,28
860916990,6210,7239,29
860920140,6245,7274,29
860923290,6280,7310,30
860926350,6315,7345,30
860929500,6350,7380,30
860932650,6385,7415,30
860935800,6420,7450,30
860938950,6455,7484,29
860942100,6489,7520,31
860945250,6525,7558,33
860948400,6560,7594,34
860951550,6596,7628,32
860954700,6631,7662,31
860957850,6666,7697,31
860961000,6701,7733,32
860964150,6736,7768,32
860967300,6771,7803,32
860970450,6805,7838,33
860973600,6841,7872,31
860976750,6874,7906,32
860979900,6909,7939,30
860983050,6944,7974,30
860986200,6979,8010,31
860989350,7014,8044,30
860992500,7049,8076,27
860995650,7083,8112,29
860998800,7123,8153,30
861001950,7157,8186,29
861005010,7192,8217,25
861008160,7228,8255,27
861011310,7263,8289,26
861014460,7297,8326,29
861017610,7333,8361,28
861020760,7368,8397,29
861023910,7403,8432,29
861027060,7438,8467,29
861030210,7473,8502,29
861033360,7508,8535,27
861036510,7541,8569,28
861039750,7575,8605,30
861042810,7615,8721,106
861045960,7646,8745,99
861049110,7682,8824,142
861052260,7718,8900,182
861055410,7754,8989,235
861058560,7789,9072,283
861061710,7824,9154,330
861064860,7858,9229,371
861068010,7892,9272,380
861071160,7927,9318,391
861074310,7961,9354,393
861077460,7996,9471,475
861080610,8030,9485,455
861083760,8065,9514,449
861086910,8101,9535,434
861090060,8134,9559,425
861093210,8169,9575,406
861096360,8205,9591,386
861099510,8240,9606,366
861102570,8275,9625,350
861105720,8310,9639,329
861108870,8345,9657,312
861112020,8380,9677,297
861115170,8415,9760,345
861118320,8450,9783,333
861121470,8485,9807,322
861124620,8521,9837,316
861127770,8556,9873,317
861130920,8590,9905,315
861134070,8625,9950,325
861137220,8660,9992,332
861140370,8695,10021,326
861143520,8730,10064,334
861146670,8765,10114,349
861149820,8800,10158,358
861152970,8835,10214,379
861156120,8869,10257,388
861159270,8906,10299,393
861162420,8939,10334,395
861165570,8974,10368,394
861168720,9009,10394,385
861171870,9043,10413,370
861175020,9078,10433,355
861178170,9114,10462,348
861181320,9148,10479,331
861184470,9183,10495,312
861187620,9218,10520,302
861190770,9253,10544,291
861193920,9288,10574,286
861197070,9323,10601,278
861200220,9359,10638,279
861203370,9393,10672,279
861206430,9428,10709,281
861209580,9463,10744,281
861212730,9498,10782,284
861215880,9533,10817,284
861219030,9567,10850,283
861222180,9607,10900,293
861225330,9638,10924,286
861228480,9673,10960,287
861231630,9708,10996,288
861234780,9743,11030,287
861237930,9779,11066,287
861241170,9814,11100,286
861244320,9849,11136,287
861247470,9884,11171,287
861250620,9919,11207,288
861253860,9956,11239,283
861257010,9991,11274,283
861260160,10025,11308,283
861263220,10060,11339,279
861266370,10095,11370,275
861269520,10130,11403,273
861272670,10165,11437,272
861275820,10200,11471,271
861278970,10235,11501,266
861282120,10268,11535,267
861285270,10305,11570,265
861288420,10339,11602,263
861291570,10375,11636,261
861294720,10412,11669,257
861297870,10446,11703,257
861301110,10482,11737,255
861304350,10517,11771,254
861307500,10552,11806,254
861310650,10587,11838,251
861313800,10622,11871,249
861316950,10657,11904,247
861320100,10692,11937,245
861323250,10726,11970,244
861326400,10762,12004,242
861329550,10796,12038,242
861332700,10832,12070,238
861335850,10867,12105,238
861339000,10902,12138,236
861342150,10937,12171,234
861345300,10972,12206,234
861348450,11007,12240,233
861351600,11042,12275,233
861354750,11077,12309,232
861357900,11112,12341,229
861361050,11147,12376,229
861364200,11182,12409,227
861367350,11216,12444,228
861370500,11252,12477,225
861373650,11286,12510,224
861376710,11321,12541,220
861379860,11356,12578,222
861383010,11390,12610,220
861386160,11425,12644,219
861389310,11460,12676,216
861392460,11495,12709,214
861395610,11529,12743,214
861398760,11568,12787,219
861401910,11598,12807,209
861404970,11634,12844,210
861408120,11670,12881,211
861411270,11705,12915,210
861414420,11740,12950,210
861417570,11775,12983,208
861420720,11809,13015,206
861423870,11845,13052,207
861427020,11880,13085,205
861430170,11915,13118,203
861433320,11950,13151,201
861436470,11984,13188,204
861439620,12020,13220,200
861442770,12055,13254,199
861445920,12090,13287,197
861449070,12124,13323,199
861452130,12160,13355,195
861455370,12194,13390,196
861458520,12230,13423,193
861461670,12264,13458,194
861464820,12299,13492,193
861467970,12334,13525,191
861471120,12369,13559,190
861474270,12404,13594,190
861477420,12439,13626,187
861480570,12475,13661,186
861483720,12510,13695,185
861486780,12544,13727,183
861489930,12579,13761,182
861493080,12613,13795,182
861496230,12648,13830,182
861499380,12683,13863,180
861502530,12719,13897,178
861505680,12752,13931,179
