rtp_ts,send_ms,recv_ms,latency_ms
2656558960,447,1436,-11
2656562110,475,1487,12
2656565260,509,1500,-9
2656568410,544,1527,-17
2656571560,579,1561,-18
2656574710,615,1598,-17
2656577860,649,1629,-20
2656581010,685,1665,-20
2656584160,720,1702,-18
2656587310,755,1736,-19
2656590460,790,1773,-17
2656593610,825,1809,-16
2656596760,860,1845,-15
2656599910,895,1882,-13
2656603060,930,1919,-11
2656606210,965,1956,-9
2656609360,999,1990,-9
2656612510,1033,2025,-8
2656615660,1068,2060,-8
2656618810,1104,2096,-8
2656621960,1138,2132,-6
2656625110,1173,2167,-6
2656628260,1208,2203,-5
2656631410,1243,2238,-5
2656634560,1278,2272,-6
2656637710,1313,2308,-5
2656640860,1348,2341,-7
2656643920,1382,2374,-8
2656647070,1417,2409,-8
2656650220,1452,2444,-8
2656653370,1489,2484,-5
2656656520,1524,2521,-3
2656659670,1559,2559,0
2656662820,1595,2602,7
2656665970,1630,2639,9
2656669120,1665,2674,9
2656672270,1700,2709,9
2656675420,1735,2746,11
2656678570,1770,2782,12
2656681720,1805,2817,12
2656684870,1840,2854,14
2656688020,1874,2892,18
2656691170,1909,2928,19
2656694230,1944,2964,20
2656697380,1979,3001,22
2656700530,2015,3039,24
2656703680,2050,3076,26
2656706830,2085,3112,27
2656709980,2119,3148,29
2656713130,2154,3185,31
2656716280,2189,3220,31
2656719430,2224,3256,32
2656722580,2259,3291,32
2656725730,2294,3328,34
2656728880,2328,3363,35
2656732030,2364,3399,35
2656735180,2398,3433,35
2656738330,2433,3468,35
2656741480,2468,3503,35
2656744630,2503,3537,34
2656747780,2538,3572,34
2656750840,2572,3605,33
2656753990,2608,3640,32
2656757140,2643,3675,32
2656760290,2677,3711,34
2656763440,2712,3745,33
2656766590,2747,3779,32
2656769740,2782,3814,32
2656772890,2817,3849,32
2656776040,2852,3883,31
2656779190,2887,3919,32
2656782340,2922,3953,31
2656785490,2957,3988,31
2656788640,2992,4021,29
2656791790,3027,4057,30
2656794940,3061,4091,30
2656798090,3097,4125,28
2656801240,3131,4161,30
2656804390,3166,4195,29
2656807540,3201,4230,29
2656810690,3236,4264,28
2656813750,3271,4297,26
2656816900,3306,4333,27
2656820050,3342,4369,27
2656823200,3376,4402,26
2656826440,3411,4438,27
2656829590,3447,4474,27
2656832740,3481,4506,25
2656835890,3516,4542,26
2656839040,3552,4578,26
2656842190,3586,4613,27
2656845250,3622,4646,24
2656848400,3657,4681,24
2656851550,3692,4718,26
2656854700,3727,4752,25
2656857850,3762,4788,26
2656861000,3796,4822,26
2656864150,3832,4856,24
2656867300,3866,4891,25
2656870450,3901,4925,24
2656873600,3937,4962,25
2656876750,3971,4996,25
2656879900,4006,5029,23
2656883050,4041,5062,21
2656886200,4075,5098,23
2656889350,4111,5131,20
2656892500,4145,5166,21
2656895650,4181,5203,22
2656898800,4215,5238,23
2656901950,4250,5273,23
2656905100,4285,5308,23
2656908250,4320,5343,23
2656911310,4354,5376,22
2656914460,4390,5409,19
2656917700,4424,5445,21
2656920850,4460,5480,20
2656924000,4494,5513,19
2656927150,4529,5548,19
2656930300,4565,5585,20
2656933360,4601,5621,20
2656936510,4636,5657,21
2656939660,4670,5691,21
2656942810,4705,5725,20
2656945960,4740,5761,21
2656949110,4775,5795,20
2656952260,4810,5832,22
2656955410,4844,5865,21
2656958560,4880,5901,21
2656961710,4915,5934,19
2656964860,4950,5970,20
2656968010,4985,6005,20
2656971160,5020,6040,20
2656974310,5055,6075,20
2656977460,5090,6110,20
2656980610,5125,6145,20
2656983760,5160,6180,20
2656986910,5195,6214,19
2656990060,5230,6248,18
2656993210,5265,6283,18
2656996360,5300,6318,18
2656999510,5335,6353,18
2657002660,5371,6389,18
2657005810,5406,6425,19
2657008960,5441,6460,19
2657012110,5476,6496,20
2657015260,5511,6532,21
2657018410,5546,6569,23
2657021560,5581,6605,24
2657024710,5617,6642,25
2657027860,5650,6676,26
2657031010,5685,6710,25
2657034160,5720,6744,24
2657037220,5754,6778,24
2657040370,5789,6814,25
2657043520,5824,6849,25
2657046670,5859,6884,25
2657049820,5894,6919,25
2657052970,5930,6956,26
2657056120,5965,6993,28
2657059360,5999,7031,32
2657062420,6034,7066,32
2657065570,6069,7098,29
2657068720,6104,7133,29
2657071870,6138,7165,27
2657075020,6174,7199,25
2657078170,6208,7235,27
2657081320,6244,7270,26
2657084470,6278,7306,28
2657087620,6314,7341,27
2657090770,6349,7375,26
2657093920,6383,7411,28
2657097070,6419,7446,27
2657100220,6453,7480,27
2657103370,6488,7515,27
2657106520,6523,7552,29
2657109670,6559,7588,29
2657112820,6594,7622,28
2657115970,6629,7656,27
2657119120,6664,7691,27
2657122180,6699,7725,26
2657125330,6734,7761,27
2657128480,6769,7794,25
2657131630,6803,7830,27
2657134870,6839,7865,26
2657138020,6873,7899,26
2657141170,6908,7934,26
2657144230,6942,7967,25
2657147380,6977,8003,26
2657150530,7012,8036,24
2657153680,7047,8069,22
2657156830,7082,8103,21
2657159980,7122,8145,23
2657163130,7157,8178,21
2657166280,7191,8209,18
2657169430,7227,8248,21
2657172580,7261,8283,22
2657175730,7297,8316,19
2657178880,7332,8352,20
2657182030,7366,8388,22
2657185180,7402,8424,22
2657188330,7437,8458,21
2657191480,7472,8492,20
2657194630,7507,8526,19
2657197780,7540,8560,20
2657200930,7573,8593,20
2657204080,7613,8724,111
2657207230,7643,8740,97
2657210380,7680,8810,130
2657213530,7716,8878,162
2657216680,7751,8957,206
2657219740,7786,9027,241
2657222890,7821,9101,280
2657226040,7856,9167,311
2657229190,7890,9221,331
2657232340,7925,9275,350
2657235490,7959,9319,360
2657238640,7996,9441,445
2657241790,8028,9454,426
2657244940,8064,9489,425
2657248090,8100,9517,417
2657251240,8133,9548,415
2657254390,8168,9572,404
2657257540,8204,9597,393
2657260690,8239,9620,381
2657263840,8274,9651,377
2657266990,8308,9676,368
2657270140,8343,9705,362
2657273290,8378,9800,422
2657276440,8413,9819,406
2657279590,8448,9836,388
2657282740,8482,9852,370
2657285890,8518,9874,356
2657289040,8554,9907,353
2657292190,8589,9924,335
2657295340,8624,9953,329
2657298490,8659,9987,328
2657301640,8693,10016,323
2657304790,8729,10053,324
2657307940,8764,10095,331
2657311090,8798,10127,329
2657314240,8833,10163,330
2657317390,8868,10192,324
2657320540,8904,10225,321
2657323690,8937,10256,319
2657326840,8973,10286,313
2657329990,9008,10314,306
2657333140,9043,10337,294
2657336290,9078,10365,287
2657339440,9114,10404,290
2657342590,9148,10425,277
2657345740,9182,10446,264
2657348890,9218,10480,262
2657352040,9253,10507,254
2657355190,9288,10545,257
2657358340,9323,10580,257
2657361490,9359,10620,261
2657364640,9392,10653,261
2657367790,9428,10691,263
2657370940,9462,10726,264
2657374090,9497,10762,265
2657377240,9532,10797,265
2657380390,9567,10830,263
2657383540,9606,10877,271
2657386690,9638,10897,259
2657389840,9673,10935,262
2657392990,9708,10970,262
2657396140,9743,11006,263
2657399290,9778,11042,264
2657402440,9813,11078,265
2657405590,9849,11112,263
2657408740,9884,11146,262
2657411890,9919,11178,259
