label,frames_matched_mean,latency_mean_ms_mean,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,latency_p99_ms_mean,runs,stall_count_mean,stall_count_std,stall_duration_ms_mean,stall_duration_ms_std,stall_rate_mean,stall_rate_std,total_duration_ms_mean
baseline,352.3333333333333,118.47795679886686,30.666666666666668,0.4714045207910317,350.9333333333333,13.881722595637122,422.25000000000006,3,2,0.0,241,8.640987597877148,0.01935088006400683,0.0006685951458555916,12453.666666666666
current,204.66666666666666,19.74883628248047,24.333333333333332,1.8856180831641267,34.0,1.4142135623730951,35.333333333333336,3,0,0.0,0,0.0,0.0,0.0,7151.666666666667
