rtp_ts,send_ms,recv_ms,latency_ms
4170919554,7897,9260,363
4170922704,7932,9307,375
4170925854,7966,9346,380
4170929004,8002,9460,458
4170932154,8035,9473,438
4170935214,8070,9502,432
4170938364,8106,9527,421
4170941514,8140,9555,415
4170944664,8174,9572,398
4170947814,8210,9591,381
4170950964,8245,9609,364
4170954114,8280,9636,356
4170957174,8314,9657,343
4170960324,8349,9679,330
4170963474,8384,9767,383
4170966624,8419,9786,367
4170969774,8454,9804,350
4170972924,8488,9824,336
4170976074,8524,9852,328
4170979224,8560,9886,326
4170982284,8594,9915,321
4170985434,8629,9956,327
4170988584,8664,9996,332
4170991734,8698,10023,325
4170994884,8733,10053,320
4170998034,8768,10090,322
4171001184,8803,10122,319
4171004334,8837,10154,317
4171007394,8872,10182,310
4171010544,8908,10214,306
4171013694,8941,10241,300
4171016844,8976,10268,292
4171019994,9011,10291,280
4171023144,9045,10314,269
4171026294,9081,10339,258
4171029354,9116,10376,260
4171032504,9151,10398,247
4171035654,9185,10432,247
4171038804,9220,10470,250
4171041954,9255,10506,251
4171045104,9290,10543,253
4171048254,9325,10579,254
4171051404,9361,10616,255
4171054554,9394,10650,256
4171057614,9430,10686,256
4171060764,9464,10720,256
4171063914,9499,10756,257
4171067064,9534,10792,258
4171070214,9568,10826,258
4171073364,9608,10872,264
4171076514,9639,10894,255
4171079574,9674,10929,255
4171082724,9709,10964,255
4171085874,9744,11000,256
4171089024,9779,11034,255
4171092174,9814,11069,255
4171095324,9849,11105,256
4171098474,9884,11141,257
4171101624,9919,11174,255
4171104774,9955,11207,252
4171107924,9989,11241,252
4171111074,10024,11272,248
4171114224,10059,11303,244
4171117374,10094,11337,243
4171120524,10133,11369,236
4171123674,10164,11402,238
4171126824,10199,11440,241
4171130244,10241,11474,233
4171133394,10271,11506,235
4171136544,10307,11544,237
4171139694,10341,11573,232
4171142844,10376,11610,234
4171145994,10412,11643,231
4171149144,10446,11677,231
4171152294,10482,11710,228
4171155444,10517,11744,227
4171158594,10552,11777,225
4171161744,10587,11810,223
4171164894,10622,11844,222
4171168044,10657,11876,219
4171171194,10692,11909,217
4171174344,10725,11942,217
4171177494,10761,11978,217
4171180644,10796,12012,216
4171183794,10832,12045,213
4171186944,10867,12080,213
4171190094,10902,12112,210
4171193154,10937,12146,209
4171196304,10971,12180,209
4171199454,11007,12211,204
4171202604,11042,12247,205
4171205754,11077,12283,206
4171208904,11112,12315,203
4171212054,11147,12348,201
4171215204,11181,12385,204
4171218354,11215,12417,202
4171221504,11252,12452,200
4171224654,11285,12483,198
4171227804,11321,12516,195
4171230954,11356,12554,198
4171234104,11389,12584,195
4171237254,11425,12622,197
4171240404,11459,12654,195
4171243554,11494,12687,193
4171246704,11529,12722,193
4171249854,11568,12765,197
4171253004,11598,12784,186
4171256154,11634,12823,189
4171259304,11670,12860,190
4171262454,11705,12895,190
4171265604,11740,12930,190
4171268754,11775,12963,188
4171271904,11809,12995,186
4171275054,11844,13031,187
4171278204,11881,13065,184
4171281354,11915,13099,184
4171284414,11950,13132,182
4171287564,11985,13168,183
4171290714,12021,13200,179
4171293864,12055,13235,180
4171297014,12090,13269,179
4171300164,12125,13301,176
4171303314,12160,13334,174
4171306464,12195,13369,174
4171309614,12230,13404,174
4171312764,12264,13437,173
4171315914,12299,13471,172
4171319064,12334,13505,171
4171322214,12369,13539,170
4171325364,12404,13573,169
4171328514,12439,13607,168
4171331664,12475,13641,166
4171334814,12510,13677,167
4171337964,12545,13711,166
4171341114,12579,13744,165
4171344264,12613,13780,167
4171347414,12651,13813,162
4171350564,12690,13846,156
4171354254,12727,13888,161
4171357494,12760,13923,163
