Time sync: 962 ms
--------------------------------------------------
P: seq 20795, size 968, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20796, size 817, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20797, size 818, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20798, size 818, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20799, size 1070, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20800, size 1071, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20801, size 1118, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20802, size 1118, send_delta 4, trans_delta 3, recv_delta 7
RTP TS: 406514491, Frame Size: 15603, Encode 4, Net 8, Wait 9, Decode 4 E2E 25 
P: seq 20803, size 938, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20804, size 994, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20805, size 1008, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20806, size 1009, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20807, size 896, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20808, size 897, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20809, size 897, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20810, size 1014, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20811, size 1014, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20812, size 944, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20813, size 945, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20814, size 945, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20815, size 842, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20816, size 842, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20817, size 842, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20818, size 991, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20819, size 992, send_delta 4, trans_delta 4, recv_delta 8
RTP TS: 406516111, Frame Size: 17118, Encode 4, Net 7, Wait 11, Decode 4 E2E 26 
P: seq 20820, size 750, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20821, size 751, send_delta 1, trans_delta 0, recv_delta 1
P: seq 20822, size 751, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20823, size 751, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20824, size 1100, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20825, size 1101, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20826, size 1115, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20827, size 1115, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20828, size 1016, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20829, size 1016, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20830, size 858, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20831, size 858, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20832, size 858, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20833, size 1047, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20834, size 1048, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20835, size 1048, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20836, size 1185, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20837, size 1185, send_delta 4, trans_delta 3, recv_delta 7
RTP TS: 406517731, Frame Size: 18886, Encode 4, Net 9, Wait 10, Decode 4 E2E 27 
P: seq 20838, size 788, send_delta 0, trans_delta 0, recv_delta 0
P: seq 20839, size 789, send_delta 1, trans_delta 0, recv_delta 1
P: seq 20840, size 786, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20841, size 786, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20842, size 818, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20843, size 819, send_delta 1, trans_delta 3, recv_delta 4
P: seq 20844, size 985, send_delta 1, trans_delta 3, recv_delta 4
P: seq 20845, size 986, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20846, size 986, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20847, size 887, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20848, size 888, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20849, size 888, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20850, size 1010, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20851, size 1010, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20852, size 1010, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20853, size 1003, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20854, size 1003, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20855, size 1003, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20856, size 984, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20857, size 985, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20858, size 985, send_delta 5, trans_delta 4, recv_delta 9
RTP TS: 406519351, Frame Size: 19557, Encode 4, Net 9, Wait 11, Decode 4 E2E 28 
P: seq 20859, size 881, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20860, size 881, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20861, size 801, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20862, size 801, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20863, size 827, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20864, size 828, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20865, size 997, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20866, size 997, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20867, size 1047, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20868, size 1048, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20869, size 1048, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20870, size 1048, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20871, size 849, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20872, size 849, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20873, size 849, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20874, size 1088, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20875, size 1088, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20876, size 1088, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20877, size 1018, send_delta 4, trans_delta 4, recv_delta 8
P: seq 20878, size 1018, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20879, size 1019, send_delta 6, trans_delta 2, recv_delta 8
RTP TS: 406520881, Frame Size: 23083, Encode 4, Net 10, Wait 10, Decode 5 E2E 29 
P: seq 20880, size 877, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20881, size 877, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20882, size 877, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20883, size 1181, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20884, size 1182, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20885, size 1054, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20886, size 1054, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20887, size 1008, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20888, size 1008, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20889, size 1078, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20890, size 1078, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20891, size 1078, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20892, size 1079, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20893, size 941, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20894, size 942, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20895, size 942, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20896, size 929, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20897, size 929, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20898, size 929, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20899, size 930, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20900, size 925, send_delta 5, trans_delta 4, recv_delta 9
P: seq 20901, size 925, send_delta 5, trans_delta 4, recv_delta 9
P: seq 20902, size 925, send_delta 5, trans_delta 4, recv_delta 9
P: seq 20903, size 926, send_delta 6, trans_delta 4, recv_delta 10
RTP TS: 406522501, Frame Size: 20713, Encode 4, Net 8, Wait 13, Decode 4 E2E 29 
P: seq 20904, size 757, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20905, size 758, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20906, size 752, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20907, size 753, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20908, size 1043, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20909, size 1043, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20910, size 1100, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20911, size 1100, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20912, size 1080, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20913, size 1080, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20914, size 1081, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20915, size 1081, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20916, size 990, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20917, size 991, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20918, size 991, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20919, size 1178, send_delta 4, trans_delta 3, recv_delta 7
